,Date,Time,open,High,Low,close,,
NIFTY_F1,20201203,09:16,13210.2,13220.2,13176,13189.15,230550,11650425
NIFTY_F1,20201203,09:17,13189.8,13197.15,13185,13193,90150,11650425
NIFTY_F1,20201203,09:18,13193.9,13196.85,13188.05,13195.2,83025,11729400
NIFTY_F1,20201203,09:19,13195.65,13199.5,13192.2,13196,74025,11729400
NIFTY_F1,20201203,09:20,13196.25,13199.25,13195.35,13198,46650,11729400
NIFTY_F1,20201203,09:21,13196.35,13201.3,13186.3,13199.3,94800,11767125
NIFTY_F1,20201203,09:22,13193.85,13193.85,13181.5,13189.6,53625,11767125
NIFTY_F1,20201203,09:23,13187.4,13193,13187,13190.3,22125,11767125
NIFTY_F1,20201203,09:24,13190,13196,13189.05,13193.4,29550,11805450
NIFTY_F1,20201203,09:25,13194.6,13196.3,13193,13194.9,26625,11805450
NIFTY_F1,20201203,09:26,13195,13197.1,13190,13192.8,30975,11805450
NIFTY_F1,20201203,09:27,13192.25,13194.05,13190,13194,13125,11807700
NIFTY_F1,20201203,09:28,13192.9,13194,13190.95,13192,15900,11807700
NIFTY_F1,20201203,09:29,13192,13192.75,13184.05,13184.2,26175,11807700
NIFTY_F1,20201203,09:30,13184.95,13189,13183.6,13187.85,27150,11809800
NIFTY_F1,20201203,09:31,13188.6,13189.9,13185.75,13189.4,29850,11809800
NIFTY_F1,20201203,09:32,13189.75,13193,13188.95,13190,21225,11809800
NIFTY_F1,20201203,09:33,13191,13192,13189.15,13191.55,11550,11817675
NIFTY_F1,20201203,09:34,13192,13192,13188.5,13189.7,19650,11817675
NIFTY_F1,20201203,09:35,13190.9,13191.85,13188.8,13189.15,19500,11817675
NIFTY_F1,20201203,09:36,13189.75,13190.8,13185.9,13190.8,14700,11835150
NIFTY_F1,20201203,09:37,13190,13190,13181.1,13181.1,24225,11835150
NIFTY_F1,20201203,09:38,13181.6,13182.1,13171.05,13172.8,50550,11835150
NIFTY_F1,20201203,09:39,13174.1,13178.6,13171.85,13177,29250,11843625
NIFTY_F1,20201203,09:40,13177.05,13177.05,13172.75,13177,29475,11843625
NIFTY_F1,20201203,09:41,13176.75,13180,13175.25,13180,15375,11843625
NIFTY_F1,20201203,09:42,13180,13184.7,13179.5,13183.45,22725,11862300
NIFTY_F1,20201203,09:43,13183.6,13183.95,13178.6,13178.6,22050,11862300
NIFTY_F1,20201203,09:44,13178.05,13181,13175,13180.5,17625,11862300
NIFTY_F1,20201203,09:45,13180.5,13182.8,13180,13181.3,13275,11878050
NIFTY_F1,20201203,09:46,13180.6,13184.25,13180.6,13183.55,14250,11878050
NIFTY_F1,20201203,09:47,13183,13187.5,13182.15,13187.15,19575,11878050
NIFTY_F1,20201203,09:48,13187.1,13194.6,13187,13194.6,37800,11884575
NIFTY_F1,20201203,09:49,13194.4,13194.6,13188,13189.6,20775,11884575
NIFTY_F1,20201203,09:50,13189,13191.25,13189,13189.45,9900,11884575
NIFTY_F1,20201203,09:51,13190,13190,13184.55,13188.4,16650,11900400
NIFTY_F1,20201203,09:52,13188.4,13190.3,13186.5,13187.5,8775,11900400
NIFTY_F1,20201203,09:53,13186.5,13189,13184.1,13188.05,13650,11900400
NIFTY_F1,20201203,09:54,13188.05,13190.7,13186,13188.35,15375,11907600
NIFTY_F1,20201203,09:55,13189.25,13191.5,13187.55,13191.5,7725,11907600
NIFTY_F1,20201203,09:56,13190.6,13192,13188.15,13188.15,9750,11907600
NIFTY_F1,20201203,09:57,13189,13189.15,13186.6,13187.25,8475,11921850
NIFTY_F1,20201203,09:58,13188.5,13189.7,13186.05,13189.7,8175,11921850
NIFTY_F1,20201203,09:59,13189.7,13191.5,13188,13191.5,7875,11921850
NIFTY_F1,20201203,10:00,13191.6,13192,13188.3,13190.3,8175,11928300
NIFTY_F1,20201203,10:01,13192,13199.7,13190.2,13198.8,45900,11928300
NIFTY_F1,20201203,10:02,13199.75,13200,13193.2,13195.45,33000,11928300
NIFTY_F1,20201203,10:03,13193.7,13196,13192.3,13196,9000,11940750
NIFTY_F1,20201203,10:04,13197.25,13197.5,13192.2,13193.55,9750,11940750
NIFTY_F1,20201203,10:05,13193,13194.1,13190,13191.5,17325,11940750
NIFTY_F1,20201203,10:06,13190.4,13190.7,13183.15,13186.65,19875,11942100
NIFTY_F1,20201203,10:07,13187.5,13188.25,13184.05,13184.35,11850,11942100
NIFTY_F1,20201203,10:08,13184.5,13185.95,13181.15,13185.55,19575,11942100
NIFTY_F1,20201203,10:09,13183.9,13184.15,13182.65,13183.1,10500,11943450
NIFTY_F1,20201203,10:10,13183,13185,13179.2,13184.65,15525,11943450
NIFTY_F1,20201203,10:11,13185,13185,13182.35,13183.75,9450,11943450
NIFTY_F1,20201203,10:12,13184.45,13186.3,13181.2,13186,13500,11949675
NIFTY_F1,20201203,10:13,13186.4,13190.7,13184.45,13187.65,12225,11949675
NIFTY_F1,20201203,10:14,13188.4,13193.4,13188.4,13193.15,13125,11949675
NIFTY_F1,20201203,10:15,13193,13195,13191,13193.1,14625,11962875
NIFTY_F1,20201203,10:16,13194.5,13203.75,13194.5,13203.2,65775,11962875
NIFTY_F1,20201203,10:17,13203.9,13205.6,13200.05,13201.7,43725,11962875
NIFTY_F1,20201203,10:18,13201.75,13205,13201.2,13202.6,35175,12013725
NIFTY_F1,20201203,10:19,13202.1,13204.7,13200.05,13200.6,44925,12013725
NIFTY_F1,20201203,10:20,13201.6,13205,13201.6,13204.75,42675,12013725
NIFTY_F1,20201203,10:21,13205.05,13206,13203.2,13205.6,34275,12063375
NIFTY_F1,20201203,10:22,13205.1,13213.75,13205.1,13209.8,54525,12063375
NIFTY_F1,20201203,10:23,13210,13210.35,13208.15,13208.95,30075,12063375
NIFTY_F1,20201203,10:24,13210.05,13215.75,13209.35,13215.1,49350,12097425
NIFTY_F1,20201203,10:25,13214.6,13218,13214,13217.6,60825,12097425
NIFTY_F1,20201203,10:26,13216.45,13219,13213.55,13213.8,46350,12097425
NIFTY_F1,20201203,10:27,13214.25,13218.5,13211.8,13218.5,26250,12136125
NIFTY_F1,20201203,10:28,13217.6,13228.4,13215.55,13216.5,100200,12136125
NIFTY_F1,20201203,10:29,13215.55,13218.2,13215.05,13215.1,26625,12136125
NIFTY_F1,20201203,10:30,13217,13218,13214.65,13218,35775,12192150
NIFTY_F1,20201203,10:31,13217,13219,13212.55,13212.65,24075,12192150
NIFTY_F1,20201203,10:32,13212.55,13217.5,13212.55,13216,18900,12192150
NIFTY_F1,20201203,10:33,13215.5,13217,13213.1,13214,23175,12226125
NIFTY_F1,20201203,10:34,13214.75,13217,13213.1,13215.65,24900,12226125
NIFTY_F1,20201203,10:35,13214.5,13215.8,13211.9,13213.7,14775,12226125
NIFTY_F1,20201203,10:36,13212.6,13219.75,13212.3,13216.6,19275,12239175
NIFTY_F1,20201203,10:37,13218,13222.65,13218,13222.65,18825,12239175
NIFTY_F1,20201203,10:38,13222.2,13222.8,13216.55,13217,13200,12239175
NIFTY_F1,20201203,10:39,13217,13217,13207,13209.45,19800,12256125
NIFTY_F1,20201203,10:40,13206.8,13208.65,13203.25,13208.35,28500,12256125
NIFTY_F1,20201203,10:41,13207.65,13208,13205.45,13205.45,20925,12256125
NIFTY_F1,20201203,10:42,13205.5,13210,13203.4,13206.7,19425,12258375
NIFTY_F1,20201203,10:43,13206.6,13209.5,13205,13205.25,15525,12258375
NIFTY_F1,20201203,10:44,13206,13207.3,13204,13204.25,14925,12258375
NIFTY_F1,20201203,10:45,13204,13208,13204,13207.6,8325,12262650
NIFTY_F1,20201203,10:46,13209,13211.2,13206.1,13207.5,12525,12262650
NIFTY_F1,20201203,10:47,13208.5,13208.5,13203.2,13203.2,10725,12262650
NIFTY_F1,20201203,10:48,13205.05,13205.05,13200.1,13203.7,12750,12261300
NIFTY_F1,20201203,10:49,13203,13204.25,13201.4,13203,12375,12261300
NIFTY_F1,20201203,10:50,13202.55,13203,13200.1,13202.8,22125,12261300
NIFTY_F1,20201203,10:51,13202.4,13204.95,13198,13198,28725,12273975
NIFTY_F1,20201203,10:52,13197.2,13199.55,13194.05,13195,38550,12273975
NIFTY_F1,20201203,10:53,13195,13198.7,13195,13198.45,15150,12273975
NIFTY_F1,20201203,10:54,13197.4,13199.5,13196,13199.5,6675,12268725
NIFTY_F1,20201203,10:55,13199.05,13199.65,13196.5,13198.45,10050,12268725
NIFTY_F1,20201203,10:56,13197.85,13202,13197.2,13200.45,13425,12268725
NIFTY_F1,20201203,10:57,13199,13199.4,13193.6,13193.6,13350,12270225
